Entity,Code,Year,Annual CO₂ emissions
Belgium,BEL,1802,6397344
Belgium,BEL,1830,6195824
Belgium,BEL,1831,4462752
Belgium,BEL,1832,4715568
Belgium,BEL,1833,4565344
Belgium,BEL,1834,4407792
Belgium,BEL,1835,4759536
Belgium,BEL,1836,5598592
Belgium,BEL,1837,5997968
Belgium,BEL,1838,6122544
Belgium,BEL,1839,6708784
Belgium,BEL,1840,7727376
Belgium,BEL,1841,7390288
Belgium,BEL,1842,7679744
Belgium,BEL,1843,7111824
Belgium,BEL,1844,7800656
Belgium,BEL,1845,8218352.5
Belgium,BEL,1846,8965808
Belgium,BEL,1847,9317552
Belgium,BEL,1848,8284303.5
Belgium,BEL,1849,8734976
Belgium,BEL,1850,9332208
Belgium,BEL,1851,10167600
Belgium,BEL,1852,11409696
Belgium,BEL,1853,11787088
Belgium,BEL,1854,13058496
Belgium,BEL,1855,13377264
Belgium,BEL,1856,13212384
Belgium,BEL,1857,13754656
Belgium,BEL,1858,14450816
Belgium,BEL,1859,14897824
Belgium,BEL,1860,15212928
Belgium,BEL,1861,16458689
Belgium,BEL,1862,16345104
Belgium,BEL,1863,17228128
Belgium,BEL,1864,18081840
Belgium,BEL,1865,19060128
Belgium,BEL,1866,20529392
Belgium,BEL,1867,22233152
Belgium,BEL,1868,20100704
Belgium,BEL,1869,21650576
Belgium,BEL,1870,24746656
Belgium,BEL,1871,23717072
Belgium,BEL,1872,25589376
Belgium,BEL,1873,28106544
Belgium,BEL,1874,25915472
Belgium,BEL,1875,26930400
Belgium,BEL,1876,26318512
Belgium,BEL,1877,25050768
Belgium,BEL,1878,27238176
Belgium,BEL,1879,27732816
Belgium,BEL,1880,30425856
Belgium,BEL,1881,30631040
Belgium,BEL,1882,32437394
Belgium,BEL,1883,34382976
Belgium,BEL,1884,33870016
Belgium,BEL,1885,33082256
Belgium,BEL,1886,32103970
Belgium,BEL,1887,33968944
Belgium,BEL,1888,36053760
Belgium,BEL,1889,36834190
Belgium,BEL,1890,39824016
Belgium,BEL,1891,37779504
Belgium,BEL,1892,37728210
Belgium,BEL,1893,36075744
Belgium,BEL,1894,39831344
Belgium,BEL,1895,40131790
Belgium,BEL,1896,42278896
Belgium,BEL,1897,43744496
Belgium,BEL,1898,45085520
Belgium,BEL,1899,47126370
Belgium,BEL,1900,49665520
Belgium,BEL,1901,46708670
Belgium,BEL,1902,48855776
Belgium,BEL,1903,52629696
Belgium,BEL,1904,50350690
Belgium,BEL,1905,50266416
Belgium,BEL,1906,57495490
Belgium,BEL,1907,58323550
Belgium,BEL,1908,57847230
Belgium,BEL,1909,57762960
Belgium,BEL,1910,61287730
Belgium,BEL,1911,61687104
Belgium,BEL,1912,64775856
Belgium,BEL,1913,68014830
Belgium,BEL,1914,40575136
Belgium,BEL,1915,34419616
Belgium,BEL,1916,45792670
Belgium,BEL,1917,36247950
Belgium,BEL,1918,33723456
Belgium,BEL,1919,44869344
Belgium,BEL,1920,55154190
Belgium,BEL,1921,50533890
Belgium,BEL,1922,55908976
Belgium,BEL,1923,71884020
Belgium,BEL,1924,76255170
Belgium,BEL,1925,78039540
Belgium,BEL,1926,77684130
Belgium,BEL,1927,90475150
Belgium,BEL,1928,88246130
Belgium,BEL,1929,96954620
Belgium,BEL,1930,93672490
Belgium,BEL,1931,84122810
Belgium,BEL,1932,67713210
Belgium,BEL,1933,72656570
Belgium,BEL,1934,74957770
Belgium,BEL,1935,71640630
Belgium,BEL,1936,75003560
Belgium,BEL,1937,90298120
Belgium,BEL,1938,79119070
Belgium,BEL,1939,73709370
Belgium,BEL,1940,62103940
Belgium,BEL,1941,65183670
Belgium,BEL,1942,61076828
Belgium,BEL,1943,57852690
Belgium,BEL,1944,33138442
Belgium,BEL,1945,38755176
Belgium,BEL,1946,56410636
Belgium,BEL,1947,82030070
Belgium,BEL,1948,85057290
Belgium,BEL,1949,80772050
Belgium,BEL,1950,76204230
Belgium,BEL,1951,89457100
Belgium,BEL,1952,83467630
Belgium,BEL,1953,82381010
Belgium,BEL,1954,85741900
Belgium,BEL,1955,92024380
Belgium,BEL,1956,96787704
Belgium,BEL,1957,96494410
Belgium,BEL,1958,87692430
Belgium,BEL,1959,88317430
Belgium,BEL,1960,90915416
Belgium,BEL,1961,92702050
Belgium,BEL,1962,98025630
Belgium,BEL,1963,105687304
Belgium,BEL,1964,103561320
Belgium,BEL,1965,105334560
Belgium,BEL,1966,105103976
Belgium,BEL,1967,107364670
Belgium,BEL,1968,118441240
Belgium,BEL,1969,123495420
Belgium,BEL,1970,125497690
Belgium,BEL,1971,121374170
Belgium,BEL,1972,130641340
Belgium,BEL,1973,138642740
Belgium,BEL,1974,134953760
Belgium,BEL,1975,121823130
Belgium,BEL,1976,129681256
Belgium,BEL,1977,126199330
Belgium,BEL,1978,135450180
Belgium,BEL,1979,139786620
Belgium,BEL,1980,134835890
Belgium,BEL,1981,123577290
Belgium,BEL,1982,117109240
Belgium,BEL,1983,101205500
Belgium,BEL,1984,104970210
Belgium,BEL,1985,104011816
Belgium,BEL,1986,102374090
Belgium,BEL,1987,102592376
Belgium,BEL,1988,99750140
Belgium,BEL,1989,106792200
Belgium,BEL,1990,120335410
Belgium,BEL,1991,123396216
Belgium,BEL,1992,122519256
Belgium,BEL,1993,121451200
Belgium,BEL,1994,124833050
Belgium,BEL,1995,125969300
Belgium,BEL,1996,129503280
Belgium,BEL,1997,124017384
Belgium,BEL,1998,130255750
Belgium,BEL,1999,124718600
Belgium,BEL,2000,126775704
Belgium,BEL,2001,126085030
Belgium,BEL,2002,126883144
Belgium,BEL,2003,128292040
Belgium,BEL,2004,128811736
Belgium,BEL,2005,125657690
Belgium,BEL,2006,123900460
Belgium,BEL,2007,120493400
Belgium,BEL,2008,120204350
Belgium,BEL,2009,107806790
Belgium,BEL,2010,114562660
Belgium,BEL,2011,105158970
Belgium,BEL,2012,102486240
Belgium,BEL,2013,102815960
Belgium,BEL,2014,97080950
Belgium,BEL,2015,101327496
Belgium,BEL,2016,99816290
Belgium,BEL,2017,99282190
Belgium,BEL,2018,100256370
Belgium,BEL,2019,99798730
Belgium,BEL,2020,91254550
Belgium,BEL,2021,94928070
Belgium,BEL,2022,88914970
Belgium,BEL,2023,84703360
Belgium,BEL,2024,85456200
Brazil,BRA,1856,227193
Brazil,BRA,1857,269048
Brazil,BRA,1858,284547
Brazil,BRA,1859,372714
Brazil,BRA,1860,434898
Brazil,BRA,1861,410068
Brazil,BRA,1862,355327
Brazil,BRA,1863,425965
Brazil,BRA,1864,479584
Brazil,BRA,1865,571897
Brazil,BRA,1866,646022
Brazil,BRA,1867,554700
Brazil,BRA,1868,752482
Brazil,BRA,1869,605044
Brazil,BRA,1870,698167
Brazil,BRA,1871,844686
Brazil,BRA,1872,858380
Brazil,BRA,1873,1029011
Brazil,BRA,1874,996022
Brazil,BRA,1875,939750
Brazil,BRA,1876,843065
Brazil,BRA,1877,878429
Brazil,BRA,1878,949458
Brazil,BRA,1879,808030
Brazil,BRA,1880,923420
Brazil,BRA,1881,1031042
Brazil,BRA,1882,948135
Brazil,BRA,1883,1170254
Brazil,BRA,1884,1282615
Brazil,BRA,1885,1215464
Brazil,BRA,1886,1236031
Brazil,BRA,1887,1315565
Brazil,BRA,1888,1283198
Brazil,BRA,1889,1860401
Brazil,BRA,1890,1713533
Brazil,BRA,1891,2072020
Brazil,BRA,1892,2145624
Brazil,BRA,1893,1969636
Brazil,BRA,1894,2308266
Brazil,BRA,1895,2188105
Brazil,BRA,1896,2615588
Brazil,BRA,1897,2734326
Brazil,BRA,1898,2681303
Brazil,BRA,1899,2612972
Brazil,BRA,1900,2272218
Brazil,BRA,1901,2314927
Brazil,BRA,1902,2554500
Brazil,BRA,1903,2442213
Brazil,BRA,1904,2639233
Brazil,BRA,1905,2871745
Brazil,BRA,1906,3248124
Brazil,BRA,1907,3722012
Brazil,BRA,1908,3729627
Brazil,BRA,1909,3825869
Brazil,BRA,1910,4584790
Brazil,BRA,1911,5383972
Brazil,BRA,1912,5477784
Brazil,BRA,1913,6107222
Brazil,BRA,1914,4657949
Brazil,BRA,1915,3211753
Brazil,BRA,1916,2735087
Brazil,BRA,1917,2840131
Brazil,BRA,1918,2656656
Brazil,BRA,1919,2967940
Brazil,BRA,1920,3964006
Brazil,BRA,1921,2886595
Brazil,BRA,1922,4026874
Brazil,BRA,1923,4792903
Brazil,BRA,1924,5319118
Brazil,BRA,1925,5341588
Brazil,BRA,1926,5469600
Brazil,BRA,1927,6038804
Brazil,BRA,1928,6083169
Brazil,BRA,1929,6337248
Brazil,BRA,1930,5787529
Brazil,BRA,1931,4772610
Brazil,BRA,1932,4780363
Brazil,BRA,1933,5177471
Brazil,BRA,1934,5158075
Brazil,BRA,1935,5378230
Brazil,BRA,1936,5617306
Brazil,BRA,1937,6731251
Brazil,BRA,1938,7179338
Brazil,BRA,1939,5614746
Brazil,BRA,1940,5654414
Brazil,BRA,1941,6280670
Brazil,BRA,1942,5866699
Brazil,BRA,1943,6474923
Brazil,BRA,1944,5895771
Brazil,BRA,1945,6822912
Brazil,BRA,1946,7460241
Brazil,BRA,1947,8947467
Brazil,BRA,1948,7847465
Brazil,BRA,1949,7366800
Brazil,BRA,1950,19659072
Brazil,BRA,1951,21659348
Brazil,BRA,1952,24934310
Brazil,BRA,1953,25218440
Brazil,BRA,1954,29675626
Brazil,BRA,1955,34023692
Brazil,BRA,1956,36608456
Brazil,BRA,1957,35977396
Brazil,BRA,1958,39053930
Brazil,BRA,1959,39017080
Brazil,BRA,1960,46851820
Brazil,BRA,1961,49134936
Brazil,BRA,1962,53610856
Brazil,BRA,1963,55519376
Brazil,BRA,1964,56621016
Brazil,BRA,1965,56272604
Brazil,BRA,1966,64153876
Brazil,BRA,1967,66021996
Brazil,BRA,1968,77210430
Brazil,BRA,1969,84071830
Brazil,BRA,1970,93466984
Brazil,BRA,1971,102313960
Brazil,BRA,1972,113992010
Brazil,BRA,1973,132029210
Brazil,BRA,1974,142980540
Brazil,BRA,1975,150287150
Brazil,BRA,1976,154561870
Brazil,BRA,1977,162313580
Brazil,BRA,1978,177060600
Brazil,BRA,1979,187727740
Brazil,BRA,1980,186127380
Brazil,BRA,1981,171261920
Brazil,BRA,1982,171439150
Brazil,BRA,1983,165851310
Brazil,BRA,1984,167524240
Brazil,BRA,1985,180064830
Brazil,BRA,1986,197183400
Brazil,BRA,1987,205911790
Brazil,BRA,1988,207640260
Brazil,BRA,1989,212015970
Brazil,BRA,1990,218657680
Brazil,BRA,1991,229393580
Brazil,BRA,1992,233600860
Brazil,BRA,1993,244305540
Brazil,BRA,1994,254002260
Brazil,BRA,1995,268677540
Brazil,BRA,1996,289310900
Brazil,BRA,1997,306949060
Brazil,BRA,1998,317359420
Brazil,BRA,1999,327255650
Brazil,BRA,2000,340182820
Brazil,BRA,2001,346165730
Brazil,BRA,2002,347764960
Brazil,BRA,2003,344644930
Brazil,BRA,2004,361434020
Brazil,BRA,2005,364370560
Brazil,BRA,2006,368870940
